标题： 拉杰什千万不要结婚啊! 	 链接：http://tieba.baidu.com//p/5911673988 	 发帖人：就要蚪一蚪 	 发帖时间：2018-10 	 回复数量： 6 
标题： 生活D爆炸1-12 	 链接：http://tieba.baidu.com//p/6107491869 	 发帖人：1469053946K 	 发帖时间：19:27 	 回复数量： 2 
标题： 漂流哥博客 	 链接：http://tieba.baidu.com//p/6105080957 	 发帖人：1469053946m 	 发帖时间：4-18 	 回复数量： 3 
标题： 选择恐惧症，选辣个好嘞 	 链接：http://tieba.baidu.com//p/6094235768 	 发帖人：becca 	 发帖时间：4-8 	 回复数量： 4 
标题： 莱纳德一直喜欢佩妮，但是在和佩妮交往之前和一个女生谈恋爱，关 	 链接：http://tieba.baidu.com//p/5906508852 	 发帖人：小艾 	 发帖时间：2018-10 	 回复数量： 6 
标题： 程野小品  替天行道 这结拜都乱套了 	 链接：http://tieba.baidu.com//p/6098892993 	 发帖人：滴水石穿5... 	 发帖时间：4-12 	 回复数量： 0 
标题： TBBT你最喜欢的一幕 	 链接：http://tieba.baidu.com//p/4022489428 	 发帖人：髣髴烟雨 	 发帖时间：2015-09 	 回复数量： 691 
标题： 求各位哥哥姐姐 想问一下 生活大爆炸有哪一集或者哪一个片段 	 链接：http://tieba.baidu.com//p/6105644196 	 发帖人：猪猪侠不... 	 发帖时间：4-18 	 回复数量： 12 
标题： 设计趋势这么好，有没有想学习的呢 	 链接：http://tieba.baidu.com//p/6075375690 	 发帖人：大神学姐 	 发帖时间：3-21 	 回复数量： 10 
标题： 耳朵色诱amy 	 链接：http://tieba.baidu.com//p/6100766023 	 发帖人：Kredom 	 发帖时间：4-14 	 回复数量： 4 
标题： 仔细想想，小谢尔顿停播到4.26，会不会和复仇者联盟四有联动 	 链接：http://tieba.baidu.com//p/6106693349 	 发帖人：乱取明 	 发帖时间：4-19 	 回复数量： 2 
标题： 在看啥呢，说你呢 	 链接：http://tieba.baidu.com//p/6106890817 	 发帖人：韩小花么... 	 发帖时间：07:05 	 回复数量： 0 
标题： 有一集说的好像是谢耳朵跟一个之前的一个女的接吻（这是在前情回 	 链接：http://tieba.baidu.com//p/5858586839 	 发帖人：雷疯 	 发帖时间：2018-08 	 回复数量： 3 
标题： 这算不算发出去了累死了， 	 链接：http://tieba.baidu.com//p/6106760026 	 发帖人：韩小花么... 	 发帖时间：00:21 	 回复数量： 0 
标题： 防火防盗防基友，爱国爱家爱老婆 	 链接：http://tieba.baidu.com//p/6106623222 	 发帖人：君子一席 	 发帖时间：4-19 	 回复数量： 0 
标题： 世界早安！ 	 链接：http://tieba.baidu.com//p/6086587266 	 发帖人：果敢佰... 	 发帖时间：4-1 	 回复数量： 3 
标题： 世界早安 	 链接：http://tieba.baidu.com//p/6086588077 	 发帖人：果敢佰... 	 发帖时间：4-1 	 回复数量： 3 
标题： 被妻子和孩子所依赖，这已经很男人了！ 	 链接：http://tieba.baidu.com//p/6106616844 	 发帖人：君子一席 	 发帖时间：4-19 	 回复数量： 0 
